Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Kids,Status,Family_size,Expenses,Total_Purchases,Engaged_in_days,TotalAcceptedCmp,AmountPerPurchase
1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,66,0,1,1,1617,25,3971 days 14:46:24.812721,1,64.68
1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,69,2,1,3,27,6,3421 days 14:46:24.812721,0,4.5
1965,Graduation,Relationship,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,58,0,2,2,776,21,3620 days 14:46:24.812721,0,36.95238095238095
1984,Graduation,Relationship,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,39,1,2,3,53,8,3447 days 14:46:24.812721,0,6.625
1981,PhD,Relationship,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,42,1,2,3,422,19,3469 days 14:46:24.812721,0,22.210526315789473
1967,Master,Relationship,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,56,1,2,3,716,22,3601 days 14:46:24.812721,0,32.54545454545455
1971,Graduation,Single,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,52,1,1,2,590,21,3901 days 14:46:24.812721,0,28.095238095238095
1985,PhD,Relationship,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,38,1,2,3,169,10,3725 days 14:46:24.812721,0,16.9
1974,PhD,Relationship,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,49,1,2,3,46,6,3696 days 14:46:24.812721,1,7.666666666666667
1950,PhD,Relationship,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,73,2,2,4,49,2,3416 days 14:46:24.812721,1,24.5
1983,Graduation,Relationship,51315.0,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,40,1,2,3,19,4,3534 days 14:46:24.812721,0,4.75
1976,Basic,Relationship,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,47,0,2,2,61,6,3901 days 14:46:24.812721,0,10.166666666666666
1959,Graduation,Single,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,64,0,1,1,1102,16,3534 days 14:46:24.812721,0,68.875
1952,Master,Single,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,71,2,1,3,310,15,3534 days 14:46:24.812721,0,20.666666666666668
1987,Graduation,Relationship,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,36,0,2,2,46,5,3935 days 14:46:24.812721,0,9.2
1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,77,0,1,1,1315,26,3890 days 14:46:24.812721,3,50.57692307692308
1980,Graduation,Relationship,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,43,2,2,4,96,9,3860 days 14:46:24.812721,0,10.666666666666666
1946,Graduation,Relationship,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,77,0,2,2,317,13,3975 days 14:46:24.812721,0,24.384615384615383
